id_str,posted_by,type,score,ratio
1787503839936966933,CBSNews,negative,-0.05655,-0.205194
1787500001318387917,CBSNews,neutral,0.0345948,-0.0673111
1787498816616247599,CBSNews,positive,0.211016,0.82921
1787495344021831855,CBSNews,positive,0.582879,0.949273
1787493958932648105,CBSNews,neutral,0.0127914,0.0918469
1787492650553127420,CBSNews,positive,0.245362,0.793768
1787492642944631156,CBSNews,negative,-0.0636165,-0.33177
1787492551345197226,CBSNews,positive,0.212679,0.548061
1787492541270487368,CBSNews,positive,0.287064,0.85754
1787492530663104637,CBSNews,positive,0.117923,1
1787487182178943142,CBSNews,positive,0.0828433,0.518361
1787479544779202602,CBSNews,negative,-0.25516,-0.495738
1787478676574970274,CBSNews,negative,-0.170923,-0.420654
1787477465801031757,CBSNews,negative,-0.275425,-0.566221
1787476156960137563,CBSNews,negative,-0.102565,-0.3371
1787476105437266256,CBSNews,negative,-0.0556921,-0.208345
1787476093697442107,CBSNews,negative,-0.978014,-1
1787472385014153450,CBSNews,neutral,-0.0278947,-0.0994813
1787467794096750592,CBSNews,negative,-0.195481,-0.483997
1787467349404041492,CBSNews,negative,-0.0626993,-0.277549
1787465959655022626,CBSNews,negative,-0.240115,-0.859326
1787465951211868604,CBSNews,positive,0.120522,0.340478
1787465940247925045,CBSNews,positive,0.0658766,0.147954
1787465932614320136,CBSNews,negative,-0.293905,-0.67814
1787465919351959614,CBSNews,positive,0.124326,0.533743
1787459801946931357,CBSNews,positive,0.0965903,0.630631
1787452249620271491,CBSNews,negative,-0.142536,-0.335433
1787444702117040233,CBSNews,negative,-0.102565,-0.3371
1787440927960629690,CBSNews,negative,-0.0788042,-0.565313
1787437151665230073,CBSNews,positive,0.151972,0.611805
1787429603570520152,CBSNews,negative,-0.124914,-0.679341
1787422052418256979,CBSNews,neutral,0.0378215,0.11774
1787406951447429329,CBSNews,neutral,0.00190548,0.00858444
1787391859213410371,CBSNews,negative,-0.304489,-0.834307
1787376752861266060,CBSNews,positive,0.137842,0.122486
1787361656697160178,CBSNews,negative,-0.312107,-0.798795
1787346556556861769,CBSNews,neutral,0.045762,0.256998
1787331456831824002,CBSNews,positive,0.206419,0.655246
1787317074429190367,CBSNews,positive,0.158088,0.249535
1787310062605680937,CBSNews,positive,0.887443,1
1787302515341414655,CBSNews,positive,0.315604,0.794855
1787298584540348638,CBSNews,negative,-0.318532,-0.711855
1787298571357770136,CBSNews,neutral,0.0464174,0.107806
1787298559315866080,CBSNews,neutral,-0.0343113,-0.252876
1787298547915735178,CBSNews,neutral,-0.0389734,-0.158508
1787298533265043709,CBSNews,negative,-0.422613,-0.767353
1787298521428680944,CBSNews,positive,0.211141,0.703836
1787298511039443444,CBSNews,positive,0.302571,0.735866
1787296224183304439,CBSNews,neutral,-0.00915724,-0.0292251
1787294964352762089,CBSNews,neutral,-0.00910148,-0.0657605
1787291189160407186,CBSNews,positive,0.0619533,0.56308
1787287413317873726,CBSNews,positive,0.247118,1
1787285573087997979,CBSNews,positive,0.206419,0.655246
1787276091201147259,CBSNews,negative,-0.109165,-0.467495
1787272315706777669,CBSNews,positive,0.109084,0.603953
1787271591069393354,CBSNews,negative,-0.39057,-0.892244
1787271500854153510,CBSNews,positive,0.162914,0.500008
1787271485783941513,CBSNews,positive,0.117923,1
1787271458172916065,CBSNews,negative,-0.12049,-0.357296
1787270191061115187,CBSNews,positive,0.124323,0.846666
1787264764298613065,CBSNews,negative,-0.222833,-0.611566
1787257217202176442,CBSNews,positive,0.0544689,0.159084
1787252156929658931,CBSNews,positive,0.161319,0.764961
1787249665684963401,CBSNews,neutral,-0.00935585,-0.0575888
1787242118727016541,CBSNews,positive,0.21886,0.564475
1787234568019288212,CBSNews,positive,0.124346,1
